id,prompt
1,"A cinematic wide shot of an astronaut walking on the red surface of Mars, Earth visible in the black sky, photorealistic 8k"
2,"A cozy rustic cabin in the snowy Alps during golden hour sunset, chimney smoke rising, warm window light"
3,"A sleek futuristic electric hypercar speeding through rainy neon-lit Tokyo streets, wet asphalt reflections"
4,"A macro detailed photograph of a dewdrop resting on a vibrant green monstera leaf, soft morning bokeh"
5,"A vintage French bakery storefront in Paris with fresh croissants and baguettes displayed in the window, morning sunlight"
6,"An ancient stone temple hidden deep inside a lush tropical rainforest with mist and sunbeams breaking through the canopy"
7,"A hyperrealistic portrait of an elderly bearded craftsman carving wood in a sunlit dusty workshop, 35mm film photograph"
8,"A majestic snow leopard perched quietly on a rugged Himalayan cliff edge during a light snowfall, sharp focus"
9,"A modern minimalist penthouse living room overlooking the Manhattan skyline at twilight, warm ambient interior lighting"
10,"A vibrant coral reef bustling with tropical clownfish, sea turtles, and turquoise clear water, national geographic style"
